module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,Add authenticated Twitter accounts,add authenticated twitter accounts,,,1,,,,1,1
,Administer Twitter accounts,administer twitter accounts,,,1,,,,1,1
user,,,,,,,,,,
,Administer permissions,administer permissions,,,1,,,,,
,Administer users,administer users,,,1,,,,,1
,View user profiles,access user profiles,,,1,,,,1,1
,Change own username,change own username,,,1,,,,,1
,Cancel own user account,cancel account,,,1,,,,,1
,Select method for cancelling own account,select account cancellation method,,,1,,,,,1
video_embed_field,,,,,,,,,,
,Administer video styles,administer video styles,,,1,,,,,1
views,,,,,,,,,,
,Administer views,administer views,,,1,,,,,1
,Bypass views access control,access all views,,,1,,,,,1
webform,,,,,,,,,,
,Access all webform results,access all webform results,,,1,,,,1,1
,Access own webform results,access own webform results,,1,1,1,1,1,1,1
,Edit all webform submissions,edit all webform submissions,,,1,,,,1,1
,Delete all webform submissions,delete all webform submissions,,,1,,,,1,1
,Access own webform submissions,access own webform submissions,,1,1,1,1,1,1,1
,Edit own webform submissions,edit own webform submissions,,,1,1,,,1,1
,Delete own webform submissions,delete own webform submissions,,,1,1,,,1,1
,Content authors: access and edit webform components and settings,edit webform components,,1,1,1,1,1,1,1
webform_deter,,,,,,,,,,
,Administer Webform Deter,administer webform_deter,,,1,,,,,1
